Customer ID,Name,Email,Total Purchases,Lifetime Value,Last Purchase Date
C001,John Smith,john.smith@email.com,12,2500,2024-01-15
C002,Emma Johnson,emma.j@email.com,8,1800,2024-01-12
C003,Michael Brown,m.brown@email.com,15,3200,2024-01-18
C004,Sarah Wilson,sarah.w@email.com,6,1200,2024-01-10
C005,David Lee,d.lee@email.com,20,4500,2024-01-20
C006,Lisa Anderson,l.anderson@email.com,10,2200,2024-01-16
C007,James Taylor,j.taylor@email.com,9,1900,2024-01-14
C008,Maria Garcia,m.garcia@email.com,14,3000,2024-01-19
C009,Robert Martin,r.martin@email.com,7,1500,2024-01-11
C010,Jennifer White,j.white@email.com,11,2300,2024-01-17
